shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_4_1,50.41048812866211,30.398195266723633,180,
1_40_0,50.49301528930664,30.462448120117188,180,
1_40_1,50.50090408325195,30.491107940673828,180,
1_41_0,50.462581634521484,30.494590759277344,180,
1_41_1,50.46262741088867,30.494613647460938,180,
1_42_0,50.50114440917969,30.46033477783203,180,
1_42_1,50.496009826660156,30.461732864379883,180,
1_46_0,50.447505950927734,30.637609481811523,180,
1_46_1,50.42758560180664,30.636659622192383,180,
1_5_0,50.447669982910156,30.473989486694336,180,
1_5_1,50.43791198730469,30.41875648498535,180,
1_51_0,50.4510612487793,30.635217666625977,180,
1_51_1,50.4312629699707,30.6512508392334,180,
1_667_0,50.4476318359375,30.674509048461914,180,
1_667_1,50.44060516357422,30.637863159179688,180,
1_1_0,50.42930603027344,30.385318756103516,190,
1_1_1,50.446556091308594,30.45367431640625,190,
1_36_0,50.496639251708984,30.462024688720703,190,
1_36_1,50.498836517333984,30.462108612060547,190,
1_37_0,50.49103927612305,30.46483039855957,190,
1_37_1,50.529666900634766,30.42723274230957,190,
1_38_0,50.4621467590332,30.50011444091797,190,
1_38_1,50.43820571899414,30.41010284423828,190,
1_389_0,50.49897766113281,30.4620304107666,190,
1_389_1,50.528316497802734,30.410383224487305,190,
1_39_0,50.460914611816406,30.48307228088379,190,
1_39_1,50.43820571899414,30.41010284423828,190,
1_4_0,50.42141342163086,30.380903244018555,190,
1_4_1,50.4112548828125,30.39727783203125,190,
1_40_0,50.49355697631836,30.462003707885742,190,
1_40_1,50.5002326965332,30.489246368408203,190,
1_41_0,50.46208190917969,30.49595832824707,190,
1_41_1,50.46250915527344,30.492605209350586,190,
1_42_0,50.50043487548828,30.46095848083496,190,
1_42_1,50.496639251708984,30.462024688720703,190,
1_46_0,50.446346282958984,30.638341903686523,190,
1_46_1,50.42935562133789,30.63540267944336,190,
1_5_0,50.447574615478516,30.472904205322266,190,
