route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2_26,31725604,26,Проспект Свободи - Станція метро «Нивки»,Тролейбус розпочинає рух із ст.м. «Нивки» та прибуває до просп. Свободи. Тривалість маршруту 25 хв. Частота відправлення тролейбусів 23 хв.,11,https://kpt.kyiv.ua/schedule/trolley/26,,
2_27,31725604,27,Станція метро «Почайна» - Станція Київ-Волинський,"Тролейбус розпочинає рух із ст.м. «Почайна», рухається поруч із ст. м. «Дорогожичі», ст.м. «Шулявська»,  та прибуває до залізничної станції Київ - Волинський. Тривалість маршруту 45 хв. Частота відправлення тролейбусів 9-13 хв.",11,https://kpt.kyiv.ua/schedule/trolley/27,,
2_28,31725604,28,Проспект Свободи - Станція метро «Лук янівська»,"Тролейбус розпочинає рух із просп. Свободи, рухається поруч із ст. міської електрички: «Пріорка»  та прибуває до ст.м. «Лук'янівська». Тривалість маршруту 36 хв. Частота відправлення тролейбусів 21-28 хв.",11,https://kpt.kyiv.ua/schedule/trolley/28,,
2_29,31725604,29,Дарницька площа -Залізнична станція «Куренівка»,,11,,,
2_3,31725604,11,Національний музей народної архітектури та побуту України - Багринова гора,"Тролейбус розпочинає рух із Музею народної архітектури і побуту України, рухається поруч з ст. м. «Іподром», ст. м. «Виставковий центр», ст. м. «Голосіївська», ст.м. «Деміївська» до житлового масиву Багринова гора. Тривалість маршруту 41 хв. Частота відправлення тролейбусів 17-20 хв.",11,https://kpt.kyiv.ua/schedule/trolley/11,,
2_30,31725604,3,Залізничний масив - Станція метро «Палац спорту»,Тролейбус розпочинає рух із Залізничного масиву та прибуває до ст.м.  «Палац спорту». Тривалість маршруту 29 хв. Частота відправлення тролейбусів 15-20 хв.,11,https://kpt.kyiv.ua/schedule/trolley/3,,
2_31,31725604,30,Вулиця Кадетський Гай - Вулиця Милославська,"Тролейбус розпочинає рух із вул. Кадетський Гай, рухається поруч із ст. м. «Шулявська», ст. м. «Дорогожичі», ст. м. «Почайна»  та прибуває до вул. Милославської. Тривалість маршруту 69 хв. Частота відправлення тролейбусів 13-18 хв.",11,https://kpt.kyiv.ua/schedule/trolley/30,,
2_33,31725604,31,Вулиця Милославська -  Станція метро «Лук’янівська»,"Тролейбус розпочинає рух із вул. Милославської, рухається поруч із ст. швидкісного трамваю  «Романа Шухевича»,  ст. м. «Почайна», ст. м. «Дорогожичі» до ст. м. «Лук'янівська». Тривалість маршруту 62 хв. Частота відправлення тролейбусів 10-20 хв.",11,https://kpt.kyiv.ua/schedule/trolley/31,,
2_34,31725604,32,Вулиця Північна - Вулиця Сошенка,"Тролейбус розпочинає рух із вул. Північної, рухається поруч із  ст. м. «Героїв Дніпра» до вул. Сошенка. Тривалість маршруту 24 хв. Частота відправлення тролейбусів 15-20 хв.",11,https://kpt.kyiv.ua/schedule/trolley/32,,
2_35,31725604,34,Вулиця Північна - станція метро Почайнв,"Тролейбус розпочинає рух із вул. Північної, рухається поруч із ст. м. «Мінська», ст. міської електрички «Куренівка» до ст. м. «Почайна». Тривалість маршруту 33 хв. Частота відправлення тролейбусів 40 хв.",11,https://kpt.kyiv.ua/schedule/trolley/34,,
2_36,31725604,35,Кадетський гай - проспект Свободи,"Тролейбус розпочинає рух із вул. Кадетський Гай, рухається поруч із ст. м. «Лук'янівська», ст. м. «Дорогожичі», ст.м. «Сирець» до просп. Свободи. Тривалість маршруту 66 хв. Частота відправлення тролейбусів 25 хв.",11,https://kpt.kyiv.ua/schedule/trolley/35,,
2_38,31725604,37,Вулиця Милославська - Станція метро «Лісова»,Тролейбус розпочинає рух із вул. Милославської та прибуває до ст.м. «Лісова». Тривалість маршруту 33 хв. Частота відправлення тролейбусів 13-19 хв.,11,https://kpt.kyiv.ua/schedule/trolley/37,,
2_40,31725604,38,Станція метро «Видубичі» - Національний музей історії України у другій світовій війні,"Тролейбус розпочинає рух із ст. м. «Видубичі», рухається поруч із ст. м. «Печерська» до Національного музею історії України у другій світовій війні. Тривалість маршруту 25 хв. Частота відправлення тролейбусів 11-22 хв.",11,https://kpt.kyiv.ua/schedule/trolley/38,,
